epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.634346995490809,1.4575,4.418375292910805,2.18,0.1
2,4.46400100963946,2.2125,4.401585035686251,2.31,0.1
3,4.42946268422916,2.425,4.315692062619366,2.98,0.1
4,4.405603964869588,2.4725,4.343223783034313,2.83,0.1
5,4.383170577283865,2.6575,4.290695643123192,3.13,0.1
6,4.3572277306748655,2.8775,4.258292825916145,3.42,0.1
7,4.352072356227107,2.89,4.26618183715434,3.14,0.1
8,4.332047988050662,3.09,4.194231980963599,4.89,0.1
9,4.317359514510669,3.37,4.163149791427806,4.44,0.1
10,4.310837535431591,3.0975,4.186886539942102,4.58,0.1
11,4.268570826838192,3.63,4.124138657050796,5.06,0.05
12,4.2602055811653505,3.6975,4.125890282135975,5.01,0.05
13,4.257365802606454,3.735,4.113720347609701,5.49,0.05
14,4.2550035558950405,3.725,4.108972642995134,5.28,0.05
15,4.243892150184217,3.915,4.107008095029034,5.21,0.05
16,4.24115823709165,3.83,4.113092950627774,5.42,0.05
17,4.239990054608914,3.9875,4.086963795408418,5.41,0.05
18,4.239081158805579,3.9825,4.087069318264345,5.12,0.05
19,4.236009910083808,3.995,4.110079110423221,5.26,0.05
20,4.226099099594945,4.125,4.0830512952200975,5.62,0.05
21,4.2141227417479685,4.4525,4.0374416852299175,6.58,0.025
22,4.208515340908647,4.3375,4.039733126193663,6.22,0.025
23,4.20655529719953,4.45,4.043423471571524,6.45,0.025
24,4.1993054109640395,4.45,4.029207425781443,6.75,0.025
25,4.197300777648585,4.5225,4.032034816621225,6.88,0.025
26,4.198015118559328,4.33,4.0223193892949745,7.15,0.025
27,4.194286559717343,4.47,4.038369073143488,6.39,0.025
28,4.195338884481607,4.7,4.015210592294041,6.73,0.025
29,4.181612011723625,4.82,4.001059399375433,6.31,0.025
30,4.178918664066936,4.7475,3.9932405284688444,7.61,0.025
31,4.159306026495303,5.145,3.976916551589966,7.51,0.0125
32,4.153304665995101,5.17,3.958749342568313,7.64,0.0125
33,4.149912455592292,5.23,3.954216899751108,8.14,0.0125
34,4.14930504960374,5.1375,3.9535050693946547,7.93,0.0125
35,4.1407792651996065,5.195,3.9512863974027996,8.63,0.0125
36,4.142359275787403,5.27,3.9406016476546664,8.2,0.0125
37,4.135469498344884,5.1625,3.9373281243481215,8.22,0.0125
38,4.136070143300504,5.2125,3.9443916188010686,8.37,0.0125
39,4.1308881505228845,5.36,3.947065419788602,7.98,0.0125
40,4.1299893018155815,5.555,3.928123311151432,8.28,0.0125
41,4.116586532074804,5.53,3.887269481827941,9.31,0.00625
42,4.078750296522634,6.09,3.8492298397836806,10.15,0.00625
43,4.062807201196591,6.185,3.828752701795554,10.31,0.00625
44,4.044359118793719,6.295,3.82371544536156,10.83,0.00625
45,4.0361233222217985,6.51,3.798268176332305,10.89,0.00625
46,4.018856258057177,6.64,3.789680649962606,11.0,0.00625
47,4.0161297778352,6.8675,3.755941339685947,11.82,0.00625
48,3.9947939429420254,7.2975,3.7432090421266193,12.04,0.00625
49,3.9838489511142523,7.245,3.736347147181064,12.08,0.00625
50,3.983907161048426,7.21,3.7310033749930467,12.3,0.00625
